Package,LibPath,Version,Priority,Built
stringdist,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.5.1,NA,3.5.0
stringi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.2
stringr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.2
SummarizedExperiment,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.12.0,NA,3.5.1
superheat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.0,NA,3.5.0
survival,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.44-1.1,recommended,3.5.2
sys,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2,NA,3.5.2
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
tensorA,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.36.1,NA,3.5.0
tensorflow,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.13.1,NA,3.5.2
tfruns,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4,NA,3.5.0
TH.data,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-10,NA,3.5.2
threejs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.1,NA,3.5.0
tibble,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.3,NA,3.5.3
tidyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.3,NA,3.5.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
tinytex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.13,NA,3.5.2
tm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-6,NA,3.5.0
TMB,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.15,NA,3.5.0
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
topicmodels,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-8,NA,3.5.0
tree,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-39,NA,3.5.0
treebase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.4,NA,3.5.0
triebeard,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
trimcluster,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-2.1,NA,3.5.0
truncnorm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-8,NA,3.5.0
trust,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-7,NA,3.5.0
TSP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-7,NA,3.5.2
tweenr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
units,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6-3,NA,3.5.2
updateR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1,NA,3.5.2
UpSetR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.2
urltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.3,NA,3.5.2
usdm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-18,NA,3.5.0
usethis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5.0,NA,3.5.2
utf8,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.0
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
uuid,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-2,NA,3.5.0
vcd,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.0
vctrs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.0,NA,3.5.0
vegan,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.5-5,NA,3.5.2
VennDiagram,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6.20,NA,3.5.0
VIM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.8.0,NA,3.5.2
viridis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
vroom,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.2
webshot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
wesanderson,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.6,NA,3.5.0
whisker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-2,NA,3.5.0
withr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.2,NA,3.5.0
xfun,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7,NA,3.5.2
XML,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.98-1.20,NA,3.5.3
xml2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
xopen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
xtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-4,NA,3.5.2
xts,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.11-2,NA,3.5.0
XVector,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.22.0,NA,3.5.1
yaml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2.0,NA,3.5.0
zCompositions,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.2,NA,3.5.2
zeallot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.0,NA,3.5.0
zip,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.2,NA,3.5.2
zlibbioc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.28.0,NA,3.5.1
zoo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-6,NA,3.5.2
